date,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
12.06.2023 01:00,24.0,750.2,753.9,83.0,从东南偏东方向吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",7,21.0
12.06.2023 00:30,24.0,750.2,753.9,83.0,从东南偏东方向吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",7,21.0
12.06.2023 00:00,25.0,750.2,753.9,83.0,从东方吹来的风,3,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",7,22.0
11.06.2023 23:30,25.0,750.2,753.9,83.0,从东方吹来的风,3,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",7,22.0
11.06.2023 23:00,25.0,750.2,753.9,83.0,从东方吹来的风,5,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",7,22.0
11.06.2023 22:30,25.0,750.2,753.9,83.0,从东方吹来的风,4,,,,"少云 (10-30%) 480 米, 疏云 (40-50%) 1200 米",7,22.0
11.06.2023 22:00,25.0,750.2,753.9,83.0,从东方吹来的风,4,,,,"少云 (10-30%) 480 米, 疏云 (40-50%) 1200 米",8,22.0
11.06.2023 21:30,25.0,750.2,753.9,89.0,从东方吹来的风,5,,,,"少云 (10-30%) 480 米, 疏云 (40-50%) 1200 米",8,23.0
11.06.2023 21:00,25.0,750.2,753.9,83.0,从东方吹来的风,5,,,,"少云 (10-30%) 480 米, 疏云 (40-50%) 1200 米",8,22.0
11.06.2023 20:30,25.0,750.2,753.9,89.0,从东方吹来的风,5,,,,疏云 (40-50%) 1200 米,8,23.0
11.06.2023 20:00,26.0,750.2,753.9,84.0,从东方吹来的风,6,,,,疏云 (40-50%) 1200 米,8,23.0
11.06.2023 19:30,27.0,749.4,753.1,79.0,从东方吹来的风,5,,,,疏云 (40-50%) 1200 米,7,23.0
11.06.2023 19:00,29.0,749.4,753.1,62.0,从东北方吹来的风,5,,,,疏云 (40-50%) 1200 米,10.0 大于等于,21.0
11.06.2023 18:30,29.0,749.4,753.1,58.0,从东北方吹来的风,4,,,,疏云 (40-50%) 1200 米,10.0 大于等于,20.0
11.06.2023 18:00,29.0,748.7,752.3,66.0,从北方吹来的风,5,,,,疏云 (40-50%) 1200 米,10.0 大于等于,22.0
11.06.2023 17:30,29.0,748.7,752.3,62.0,从北方吹来的风,5,,,,疏云 (40-50%) 1200 米,10.0 大于等于,21.0
11.06.2023 17:00,30.0,748.7,752.3,62.0,从北方吹来的风,5,,,,疏云 (40-50%) 1200 米,10.0 大于等于,22.0
11.06.2023 16:30,30.0,748.7,752.3,62.0,从北方吹来的风,5,,,,疏云 (40-50%) 1200 米,10.0 大于等于,22.0
11.06.2023 16:00,30.0,748.7,752.3,62.0,从北方吹来的风,6,,,,少云 (10-30%) 1200 米,10.0 大于等于,22.0
11.06.2023 15:30,31.0,748.7,752.3,55.0,从北方吹来的风,5,,,,疏云 (40-50%) 990 米,10.0 大于等于,21.0
11.06.2023 15:00,31.0,748.7,752.3,55.0,从西北偏北方向吹来的风,5,,,,疏云 (40-50%) 990 米,10.0 大于等于,21.0
11.06.2023 14:30,31.0,748.7,752.3,55.0,从北方吹来的风,4,,,,少云 (10-30%) 1200 米,10.0 大于等于,21.0
11.06.2023 14:00,31.0,748.7,752.3,52.0,从北方吹来的风,3,,,,无明显的云,10.0 大于等于,20.0
11.06.2023 13:30,31.0,748.7,752.3,52.0,从西北偏北方向吹来的风,4,,,,无明显的云,10.0 大于等于,20.0
11.06.2023 13:00,32.0,748.7,752.3,52.0,从北方吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
11.06.2023 12:30,31.0,748.7,752.3,52.0,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,20.0
11.06.2023 12:00,31.0,748.7,752.3,52.0,从北方吹来的风,3,,,,疏云 (40-50%) 780 米,10.0 大于等于,20.0
11.06.2023 11:30,32.0,748.7,752.3,49.0,从西北偏北方向吹来的风,5,,,,疏云 (40-50%) 780 米,10.0 大于等于,20.0
11.06.2023 11:00,31.0,748.7,752.3,52.0,风向多变,3,8.0,,,疏云 (40-50%) 780 米,10.0 大于等于,20.0
11.06.2023 10:30,31.0,749.5,753.1,55.0,从北方吹来的风,3,,,,少云 (10-30%) 780 米,10.0 大于等于,21.0
11.06.2023 10:00,30.0,748.7,752.3,62.0,从北方吹来的风,3,,,,少云 (10-30%) 780 米,10.0 大于等于,22.0
11.06.2023 09:30,30.0,749.5,753.1,62.0,从西北方吹来的风,4,,,,少云 (10-30%) 780 米,10.0 大于等于,22.0
11.06.2023 09:00,29.0,749.4,753.1,62.0,从西北方吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
11.06.2023 08:30,29.0,748.7,752.3,62.0,从西北偏北方向吹来的风,4,,,,无明显的云,10.0 大于等于,21.0
11.06.2023 08:00,28.0,748.6,752.3,70.0,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,22.0
11.06.2023 07:30,28.0,748.6,752.3,74.0,从东北方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 07:00,27.0,748.6,752.3,79.0,从东北方吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 06:30,27.0,747.9,751.6,79.0,从东北偏东方向吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 06:00,28.0,747.9,751.6,70.0,风向多变,1,,,,无明显的云,10.0 大于等于,22.0
11.06.2023 05:30,28.0,747.9,751.6,66.0,从西北偏西方向吹来的风,2,,,,无明显的云,10.0 大于等于,21.0
11.06.2023 05:00,27.0,747.1,750.8,74.0,从西南偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,22.0
11.06.2023 04:30,27.0,747.1,750.8,79.0,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 04:00,27.0,747.1,750.8,79.0,从西南偏南方向吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 03:30,27.0,747.1,750.8,79.0,从西南偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 03:00,28.0,747.9,751.6,74.0,从西北偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,23.0
11.06.2023 02:30,28.0,747.9,751.6,79.0,从西北偏西方向吹来的风,6,11.0,,,无明显的云,10.0 大于等于,24.0
11.06.2023 02:00,28.0,747.1,750.8,79.0,风向多变,1,,,,无明显的云,10.0 大于等于,24.0
11.06.2023 01:30,28.0,747.9,751.6,79.0,风向多变,1,,,,无明显的云,10.0 大于等于,24.0
11.06.2023 01:00,27.0,747.1,750.8,84.0,无风,0,,,,无明显的云,10.0 大于等于,24.0
11.06.2023 00:30,27.0,747.1,750.8,84.0,从北方吹来的风,2,,,,无明显的云,10.0 大于等于,24.0
11.06.2023 00:00,26.0,747.1,750.8,89.0,从东北偏东方向吹来的风,3,,,,无明显的云,10.0 大于等于,24.0
10.06.2023 23:30,27.0,747.1,750.8,84.0,从东方吹来的风,2,,,,无明显的云,10.0 大于等于,24.0
10.06.2023 23:00,27.0,747.9,751.6,79.0,从东方吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
10.06.2023 22:30,28.0,747.9,751.6,74.0,从东方吹来的风,6,,,,无明显的云,10.0 大于等于,23.0
10.06.2023 22:00,29.0,748.0,751.6,74.0,从东北偏东方向吹来的风,6,,,,无明显的云,10.0 大于等于,24.0
10.06.2023 21:30,30.0,748.0,751.6,70.0,无风,0,,,,无明显的云,10.0 大于等于,24.0
10.06.2023 21:00,31.0,747.2,750.8,66.0,风向多变,1,,,,无明显的云,10.0 大于等于,24.0
10.06.2023 20:30,30.0,747.2,750.8,70.0,从东方吹来的风,3,,,,无明显的云,10.0 大于等于,24.0
10.06.2023 20:00,31.0,747.2,750.8,62.0,从东方吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
10.06.2023 19:30,31.0,746.5,750.1,62.0,从东方吹来的风,4,,,,无明显的云,10.0 大于等于,23.0
10.06.2023 19:00,33.0,746.5,750.1,49.0,从东南偏东方向吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 18:30,33.0,745.7,749.3,49.0,从南方吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 18:00,34.0,745.7,749.3,47.0,从西南方吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 17:30,35.0,744.9,748.5,44.0,从西南偏南方向吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 17:00,35.0,744.9,748.5,44.0,从西南方吹来的风,3,,,,无明显的云,10.0 大于等于,21.0
